"","Port.Name","Year","Vehicles"
"1","Brownsville","2022",139809
"2","Calexico East","2022",245153
"3","Columbus","2022",19316
"4","Del Rio","2022",55917
"5","Douglas","2022",18988
"6","Eagle Pass","2022",140888
"7","El Paso","2022",59996
"8","Hidalgo","2022",479437
"9","Laredo","2022",2080941
"10","Lukeville","2022",833
"11","Naco","2022",861
"12","Nogales","2022",280894
"13","Otay Mesa","2022",839843
"14","Presidio","2022",7397
"15","Progreso","2022",31885
"16","Rio Grande City","2022",47281
"17","Roma","2022",29774
"18","San Luis","2022",33764
"19","Santa Teresa","2022",103310
"20","Tecate","2022",43989
