"","origin","destination","Net_B2A"
"1","Alameda County,California","Maricopa County,Arizona",-681
"2","Alameda County,California","Clackamas County,Oregon",-527
"3","Alameda County,California","Multnomah County,Oregon",-789
"4","Alameda County,California","Salt Lake County,Utah",-509
"5","Contra Costa County,California","King County,Washington",-534
"6","El Dorado County,California","Carson City,Nevada",-573
"7","Kern County,California","El Paso County,Texas",-507
"8","Los Angeles County,California","Maricopa County,Arizona",-5723
"9","Los Angeles County,California","Mohave County,Arizona",-697
"10","Los Angeles County,California","Pima County,Arizona",-1000
"11","Los Angeles County,California","Palm Beach County,Florida",-505
"12","Los Angeles County,California","Ada County,Idaho",-565
"13","Los Angeles County,California","Clark County,Nevada",-9524
"14","Los Angeles County,California","Washoe County,Nevada",-549
"15","Los Angeles County,California","Deschutes County,Oregon",-1017
"16","Los Angeles County,California","Lane County,Oregon",-802
"17","Los Angeles County,California","Multnomah County,Oregon",-540
"18","Los Angeles County,California","Washington County,Oregon",-735
"19","Los Angeles County,California","Collin County,Texas",-1642
"20","Los Angeles County,California","Comal County,Texas",-706
"21","Los Angeles County,California","Dallas County,Texas",-596
"22","Los Angeles County,California","Denton County,Texas",-926
"23","Los Angeles County,California","Harris County,Texas",-1437
"24","Los Angeles County,California","Tarrant County,Texas",-2594
"25","Los Angeles County,California","Travis County,Texas",-1557
"26","Los Angeles County,California","Williamson County,Texas",-620
"27","Los Angeles County,California","Salt Lake County,Utah",-521
"28","Los Angeles County,California","Utah County,Utah",-682
"29","Los Angeles County,California","King County,Washington",-2242
"30","Los Angeles County,California","Spokane County,Washington",-648
"31","Monterey County,California","Yuma County,Arizona",-542
"32","Orange County,California","Maricopa County,Arizona",-4066
"33","Orange County,California","Pinal County,Arizona",-571
"34","Orange County,California","Yavapai County,Arizona",-563
"35","Orange County,California","Ada County,Idaho",-1023
"36","Orange County,California","Clark County,Nevada",-1151
"37","Orange County,California","Lane County,Oregon",-701
"38","Orange County,California","Collin County,Texas",-836
"39","Orange County,California","Dallas County,Texas",-881
"40","Orange County,California","McLennan County,Texas",-577
"41","Orange County,California","Williamson County,Texas",-550
"42","Placer County,California","Lyon County,Nevada",-715
"43","Riverside County,California","Maricopa County,Arizona",-1091
"44","Riverside County,California","Mohave County,Arizona",-514
"45","Riverside County,California","Clayton County,Georgia",-516
"46","Riverside County,California","Clark County,Nevada",-1416
"47","Sacramento County,California","Maricopa County,Arizona",-790
"48","Sacramento County,California","Ada County,Idaho",-575
"49","Sacramento County,California","Clark County,Nevada",-628
"50","San Bernardino County,California","Maricopa County,Arizona",-1205
"51","San Bernardino County,California","Pima County,Arizona",-562
"52","San Bernardino County,California","Clark County,Nevada",-1805
"53","San Bernardino County,California","Salt Lake County,Utah",-909
"54","San Bernardino County,California","King County,Washington",-585
"55","San Diego County,California","Coconino County,Arizona",-873
"56","San Diego County,California","Maricopa County,Arizona",-3037
"57","San Diego County,California","Douglas County,Colorado",-923
"58","San Diego County,California","Clark County,Nevada",-588
"59","San Diego County,California","Multnomah County,Oregon",-552
"60","San Diego County,California","El Paso County,Texas",-653
"61","San Diego County,California","Tarrant County,Texas",-796
"62","San Diego County,California","Kitsap County,Washington",-931
"63","San Francisco County,California","Multnomah County,Oregon",-625
"64","San Francisco County,California","King County,Washington",-819
"65","San Joaquin County,California","Knox County,Tennessee",-629
"66","San Mateo County,California","Travis County,Texas",-568
"67","Santa Barbara County,California","Maricopa County,Arizona",-626
"68","Santa Clara County,California","Clark County,Nevada",-1544
"69","Santa Clara County,California","Jackson County,Oregon",-560
"70","Santa Clara County,California","Washington County,Oregon",-578
"71","Santa Clara County,California","Collin County,Texas",-749
"72","Santa Clara County,California","Travis County,Texas",-595
"73","Santa Clara County,California","Williamson County,Texas",-1413
"74","Santa Clara County,California","King County,Washington",-1293
"75","Tulare County,California","Virginia Beach City,Virginia",-1160
"76","Ventura County,California","Maricopa County,Arizona",-826
"77","Ventura County,California","Clark County,Nevada",-998
