"","Port.Name","Year","Pedescross"
"1","Andrade","2022",636065
"2","Brownsville","2022",1832544
"3","Calexico","2022",2604066
"4","Calexico East","2022",449568
"5","Columbus","2022",161254
"6","Del Rio","2022",161310
"7","Douglas","2022",683612
"8","Eagle Pass","2022",774173
"9","El Paso","2022",3650111
"10","Hidalgo","2022",2069123
"11","Laredo","2022",2490687
"12","Lukeville","2022",71707
"13","Naco","2022",86760
"14","Nogales","2022",2565614
"15","Otay Mesa","2022",2710327
"16","Presidio","2022",195857
"17","Progreso","2022",1154924
"18","Rio Grande City","2022",69692
"19","Roma","2022",191421
"20","San Luis","2022",2058032
"21","San Ysidro","2022",6678157
"22","Santa Teresa","2022",120918
"23","Sasabe","2022",783
"24","Tecate","2022",771889
"25","Tornillo","2022",36987
